word,count
fans,46
chairman,46
address,46
punk,46
arrest,46
tense,46
truth,46
purposes,46
orleans,46
parents,46
versions,46
railroad,46
afghanistan,46
cuban,46
crisis,45
twelve,45
spain,45
grew,45
escape,45
iii,45
contain,45
continues,45
tv,45
lands,45
wounded,45
representation,45
employed,45
respectively,45
income,45
powerful,45
senior,45
regional,45
bases,45
management,45
invisible,45
launch,45
johnson,45
reduce,45
lyrics,45
producer,45
principles,45
resolution,45
route,45
charge,45
dixie,45
seals,45
surface,45
orthodox,45
theme,45
easily,44
importance,44
feeling,44
decades,44
islamic,44
anyone,44
slightly,44
responsibility,44
strongly,44
speaking,44
fruit,44
candidate,44
completely,44
mentioned,44
friends,44
pp,44
piece,44
plus,44
halt,44
examples,44
ultimately,44
marriage,44
spielberg,44
moral,44
neither,44
entirely,44
kill,44
developing,44
franklin,44
circumstances,44
kansas,44
execution,44
shared,44
spectrum,44
serve,44
reasonable,44
celebration,44
networks,44
huns,44
widespread,43
describe,43
ice,43
supply,43
seventh,43
towns,43
scientists,43
explained,43
derived,43
thousand,43
communities,43
hands,43
impossible,43
extremely,43
sports,43
collection,43
appointed,43
abuse,43
holding,43
jobs,43
captured,43
bank,43
fund,43
proof,43
cells,43
communications,43
color,43
dancing,43
horn,43
mixed,43
speed,43
advance,43
sides,43
units,43
heavily,43
biggest,43
setting,43
aircraft,43
requirements,43
sell,43
howard,43
secession,43
philosophical,43
cars,43
occurs,43
anarchist,43
turing,43
existentialism,43
hundred,42
contributed,42
cold,42
decline,42
port,42
experienced,42
imprisonment,42
census,42
unique,42
possibly,42
fashion,42
composed,42
sun,42
attributed,42
controversial,42
heat,42
roughly,42
joseph,42
colonial,42
considerable,42
saint,42
gain,42
pro,42
bar,42
delegates,42
directed,42
details,42
fear,42
exchange,42
channel,42
roll,42
else,42
los,42
capture,42
student,42
broken,42
faith,42
essential,42
understanding,42
plays,42
casualties,42
proceedings,42
cited,42
reserve,42
golden,42
collected,42
strength,42
add,42
ratified,42
fruits,42
missouri,42
horror,42
grail,42
sartre,42
medieval,41
paris,41
granted,41
ran,41
understood,41
reading,41
increasingly,41
objects,41
decay,41
achieve,41
claiming,41
affairs,41
decade,41
judicial,41
mountain,41
islands,41
relative,41
similarly,41
benefits,41
job,41
concerned,41
worth,41
exposure,41
charges,41
goal,41
joint,41
pass,41
element,41
reality,41
ohio,41
peter,41
singer,41
trademark,41
argument,41
meant,41
measures,41
victim,41
foot,41
operating,41
ireland,41
searches,41
looking,41
label,41
evans,41
tree,41
visual,41
creating,40
louis,40
becomes,40
extensive,40
explain,40
height,40
houses,40
marked,40
threat,40
application,40
follows,40
awards,40
earliest,40
establish,40
fixed,40
settled,40
effectively,40
plans,40
democrats,40
votes,40
unusual,40
strategies,40
industrial,40
billboard,40
angeles,40
tracks,40
boy,40
inc,40
library,40
requires,40
breaking,40
jesus,40
personnel,40
lawsuit,40
apart,40
chemical,40
influential,40
emancipation,40
patent,40
agencies,40
franks,40
afro,40
politkovskaya,40
atari,40
deckard,40
asia,39
quite,39
length,39
symptoms,39
significance,39
severe,39
quarter,39
judgment,39
involving,39
suggests,39
broadcast,39
selected,39
map,39
lowest,39
gdp,39
spoken,39
immigrant,39
voted,39
maintain,39
equivalent,39
chosen,39
lot,39
ongoing,39
sale,39
manner,39
difference,39
procedures,39
hospital,39
genre,39
cognitive,39
mcclane,39
panel,39
protected,39
principle,39
steel,39
brigade,39
ed,39
maines,39
senator,39
farmers,39
facts,39
progressive,39
hosted,39
structural,39
hispanic,39
herds,39
einhorn,39
challenge,38
estimate,38
discussion,38
relation,38
follow,38
holy,38
alexander,38
settlers,38
gives,38
adult,38
resources,38
irish,38
racial,38
taxes,38
error,38
discussed,38
successfully,38
mean,38
massachusetts,38
braddock,38
split,38
acting,38
vocals,38
suit,38
master,38
com,38
phone,38
christians,38
extra,38
soldier,38
photos,38
fly,38
cm,38
fields,38
digital,38
output,38
volume,38
fires,38
democracy,38
participation,38
kg,38
rivers,38
dawn,38
martel,38
pattern,37
moment,37
none,37
begun,37
progress,37
ends,37
origins,37
knew,37
destroyed,37
italian,37
maximum,37
goes,37
formal,37
exception,37
partner,37
external,37
markets,37
closely,37
minority,37
studios,37
obtained,37
republicans,37
seeking,37
conference,37
treated,37
scenes,37
standing,37
characters,37
adding,37
everything,37
fired,37
assistance,37
institutions,37
younger,37
